Ship  Alabama Notre_Dame
GoDaddy Arkansas_St Kent_St
Idaho_Potato  Utah_St Toledo
Poinsettia BYU San_Diego_St
Carriers  Louisiana-Lafayette East_Carolina
Las_Vegas  Boise_St Washington
Little_Caesars  Central_Michigan Western_Kentucky
Military San_Jose_St Bowling_Green
Holiday Baylor UCLA
Independence Ohio Louisiana-Monroe
Texas  Texas_Tech Minnesota
Armed_Forces Rice Air_Force
Fight_Hunger  Arizona_St Navy
Alamo Texas Oregon_St
Music_City  Vanderbilt North_Carolina_St
Sun  Georgia_Tech USC
Chick-fil-a  Clemson LSU
Gator  Northwestern Mississippi_St
Capital1 Georgia Nebraska
Outback South_Carolina Michigan
Orange  Florida_St Northern_Illinois
Sugar Louisville Florida
Cotton Texas_A&M Oklahoma
Compass  Ole_Miss Pittsburgh
Fiesta Oregon Kansas_St
Rose  Stanford Wisconsin
Heart_of_Dallas  Oklahoma_St Purdue
Liberty  Tulsa Iowa_St
BW3  Michigan_St TCU
Pinstripe  Syracuse West_Virginia
Athletic  Virginia_Tech Rutgers
Belk Cincinnati Duke
Hawaii  SMU Fresno_St
Beef_O_Bradys  UCF Ball_St
Gildan  Arizona Nevada
