Gildan Colorado_St Washington_St
Royal_Purple USC Fresno_St
Famous_Idaho San_Diego_St Buffalo
R+L_Carriers Louisiana-Lafayette Tulane
Beef_O_Bradys East_Carolina Ohio
Hawaii Oregon_St Boise_St
Little_Caesars_Pizza Pittsburgh Bowling_Green
Poinsettia Utah_St Northern_Illinois
Military Marshall Maryland
Texas Syracuse Minnesota
Fight_Hunger Washington BYU
Pinstripe Notre_Dame Rutgers
Belk North_Carolina Cincinnati
Russell_Athletic Louisville Miami
BW3 Kansas_St Michigan
Armed_Forces Navy Middle_Tennessee
Music_City Ole_Miss Georgia_Tech
Alamo Oregon Texas
Holiday Texas_Tech Arizona_St
V100 Arizona Boston_College
Sun UCLA Virginia_Tech
Liberty Mississippi_St Rice
Chick-fil-A Texas_A&M Duke
Gator Nebraska Georgia
Heart_of_Dallas North_Texas UNLV
Capital_One South_Carolina Wisconsin
Outback LSU Iowa
Rose Michigan_St Stanford
Fiesta UCF Baylor
Sugar Oklahoma Alabama
Orange Clemson Ohio_St
Cotton Missouri Oklahoma_St
Compass Vanderbilt Houston
GoDaddy Arkansas_St Ball_St
Ship Florida_St Auburn
