Orange Oklahoma Clemson
Cotton Michigan_State Alabama
New_Mexico Arizona New_Mexico
Las_Vegas BYU Utah
Camellia Ohio Appalachian_State
Cure San_Jose_State Georgia_State
New_Orleans Arkansas_State La._Tech
Miami_Beach W._Kentucky South_Florida
Idaho_Potato Akron Utah_State
Boca_Raton Toledo Temple
Poinsetta_Bowl Boise_State N._Illinois
GoDaddy Georgia_Southern Bowling_Green
Bahamas MTSU W._Michigan
Hawaii San_Diego_State Cincinnati
St_Petersburg Connecticut Marshall
Sun Miami,_FL Washington_State
Heart_of_Dallas Washington Southern_Miss
Pinstripe Indiana Duke
Independence Tulsa Virginia_Tech
Foster_Farms UCLA Nebraska
Military Pittsburgh Navy
Quick_Lane C._Michigan Minnesota
Armed_Forces California Air_Force
Athletic North_Carolina Baylor
Arizona Nevada Colorado_State
Texas LSU Texas_Tech
Birmingham Auburn Memphis
Belk N.C._State Mississippi_State
Music_City Texas_A&M Louisville
Holiday Southern_Cal Wisconsin
Citrus Florida Michigan
Peach Houston Florida_State
Outback Northwestern Tennessee
Fiesta Notre_Dame Ohio_State
Rose Stanford Iowa
Sugar Oklahoma_State Mississippi
TaxSlayer Penn_State Georgia
Liberty Kansas_State Arkansas
Alamo Oregon TCU
Cactus West_Virginia Arizona_State
National_Championship Clemson Alabama
