Peach Washington Alabama
Fiesta Ohio_State Clemson
New_Mexico New_Mexico UTSA
Las_Vegas Houston San_Diego_State
Camelia Appalachian_State Toledo
Cure UCF Arkansas_State
New_Orleans Southern_Miss La.-Lafayette
Miami_Beach C._Michigan Tulsa
Boca_Raton Memphis W._Kentucky
Poinsettia BYU Wyoming
Famous_Idaho_Potato Idaho Colorado_State
Bahamas E._Michigan Old_Dominion
Armed_Forces La._Tech Navy
Dollar_General Ohio Troy
Hawaii Hawaii MTSU
St_Petersburg Miami,_OH Mississippi_State
Quick_Lane Maryland Boston_College
Independence N.C._State Vanderbilt
Heart_of_Dallas Army North_Texas
Military Temple Wake_Forest
Holiday Minnesota Washington_State
Cactus Boise_State Baylor
Pinstripe Pittsburgh Northwestern
Athletic West_Virginia Miami,_FL
Foster_Farms Indiana Utah
Texas Texas_A&M Kansas_State
Birmingham South_Florida South_Carolina
Belk Arkansas Virginia_Tech
Alamo Oklahoma_State Colorado
Liberty Georgia TCU
Sun Stanford North_Carolina
Music_City Nebraska Tennessee
Arizona S._Alabama Air_Force
Orange Michigan Florida_State
Citrus LSU Louisville
TaxSlayer Georgia_Tech Kentucky
Outback Florida Iowa
Cotton W._Michigan Wisconsin
Rose Southern_Cal Penn_State
Sugar Auburn Oklahoma
National_Championship Alabama Ohio_State
