"Season","Date","Wk","Game Title","Visit Team","Visit Points","Home Team","Home Points","Visit Conf","Visit SubDiv","Home Conf","Home SubDiv"
2006,"2006-08-31",1,"Boston College at Central Michigan","Boston College",31,"Central Michigan",24,"ACC","FBS","MAC","FBS"
2006,"2006-08-31",1,"Rhode Island at Connecticut","Rhode Island",7,"Connecticut",52,"FCS","FCS","Big East","FBS"
2006,"2006-08-31",1,"Northern Arizona at Arizona State","Northern Arizona",14,"Arizona State",35,"FCS","FCS","Pac 10/12","FBS"
2006,"2006-08-31",1,"Toledo at Iowa State","Toledo",43,"Iowa State",45,"MAC","FBS","Big 12","FBS"
2006,"2006-08-31",1,"Minnesota at Kent State","Minnesota",44,"Kent State",0,"Big Ten","FBS","MAC","FBS"
2006,"2006-08-31",1,"Northwestern at Miami (Ohio)","Northwestern",21,"Miami (Ohio)",3,"Big Ten","FBS","MAC","FBS"
2006,"2006-08-31",1,"Florida International at Middle Tennessee","Florida International",6,"Middle Tennessee",7,"Sun Belt","FBS","Sun Belt","FBS"
2006,"2006-08-31",1,"South Carolina at Mississippi State","South Carolina",15,"Mississippi State",0,"SEC","FBS","SEC","FBS"
2006,"2006-08-31",1,"Eastern Michigan at Ball State","Eastern Michigan",20,"Ball State",38,"MAC","FBS","MAC","FBS"
2006,"2006-08-31",1,"Southeastern Louisiana at New Mexico State","Southeastern Louisiana",15,"New Mexico State",30,"FCS","FCS","WAC","FBS"
2006,"2006-08-31",1,"Alcorn St. at Louisiana-Monroe","Alcorn St.",6,"Louisiana-Monroe",24,"FCS","FCS","Sun Belt","FBS"
2006,"2006-08-31",1,"Eastern Washington at Oregon State","Eastern Washington",17,"Oregon State",56,"FCS","FCS","Pac 10/12","FBS"
2006,"2006-08-31",1,"UTEP at San Diego State","UTEP",34,"San Diego State",27,"C-USA","FBS","MW","FBS"
2006,"2006-08-31",1,"Sacramento State at Boise State","Sacramento State",0,"Boise State",45,"FCS","FCS","WAC","FBS"
2006,"2006-08-31",1,"Stephen F. Austin at Tulsa","Stephen F. Austin",7,"Tulsa",45,"FCS","FCS","C-USA","FBS"
2006,"2006-08-31",1,"Temple at Buffalo","Temple",3,"Buffalo",9,"IND","FBS","MAC","FBS"
2006,"2006-09-01",1,"Nevada at Fresno State","Nevada",19,"Fresno State",28,"WAC","FBS","WAC","FBS"
2006,"2006-09-02",1,"Utah at UCLA","Utah",10,"UCLA",31,"MW","FBS","Pac 10/12","FBS"
2006,"2006-09-02",1,"Villanova at UCF","Villanova",16,"UCF",35,"FCS","FCS","C-USA","FBS"
2006,"2006-09-02",1,"Eastern Kentucky at Cincinnati","Eastern Kentucky",0,"Cincinnati",31,"FCS","FCS","Big East","FBS"
2006,"2006-09-02",1,"Florida Atlantic at Clemson","Florida Atlantic",6,"Clemson",54,"Sun Belt","FBS","ACC","FBS"
2006,"2006-09-02",1,"Weber State at Colorado State","Weber State",6,"Colorado State",30,"FCS","FCS","MW","FBS"
2006,"2006-09-02",1,"Montana State at Colorado","Montana State",19,"Colorado",10,"FCS","FCS","Big 12","FBS"
2006,"2006-09-02",1,"Richmond at Duke","Richmond",13,"Duke",0,"FCS","FCS","ACC","FBS"
2006,"2006-09-02",1,"Southern Mississippi at Florida","Southern Mississippi",7,"Florida",34,"C-USA","FBS","SEC","FBS"
2006,"2006-09-02",1,"Notre Dame at Georgia Tech","Notre Dame",14,"Georgia Tech",10,"IND","FBS","ACC","FBS"
2006,"2006-09-02",1,"Western Kentucky at Georgia","Western Kentucky",12,"Georgia",48,"FCS","FCS","SEC","FBS"
2006,"2006-09-02",1,"BYU at Arizona","BYU",13,"Arizona",16,"MW","FBS","Pac 10/12","FBS"
