AutoNation TULN ULL
NewMexico USU UNT 
LasVegas ASU FRES
Camellia GASO EMU
NewOrleans MTSU APP
BocaRaton UAB NIU
Frisco SDSU OHIO
Gasparilla MRSH USF
Bahamas FIU TOL
IdahoPotato WMU BYU
Birmingham MEM WAKE
ArmedForces HOU ARMY
DollarGeneral BUFF TROY
Hawaii HAW LT
FirstResponder BC BSU
QuickLane MINN GT
CheezIt CAL TCU
Independence TEM DUKE
Pinstripe MIAMI WIS
Texas BAY VAN
MusicCity PUR AUB
CampingWorld WVU SYR
Alamo ISU WSU
Peach FLA MICH
Belk SC UVA
Arizona ARKST NEV
Cotton ND CLEM
Orange OKLA ALA
Military CIN VT
Sun STAN PITT
Redbox MSU ORE
Liberty MIZ OKST
Holiday NW UTAH
Gator NCST TA&M
Outback MSST IOWA
Fiesta LSU UCF
Citrus UK PSU
Rose WASH OSU
Sugar TEX UGA
Natty ND ALA
